Reserve Number,Charter ID,Charter Date,Status,Total Billed,Charges (itemized),Total Paid,Payments (itemized),Balance Owing
006684,5645,2012-09-04,closed,673.74,2026-03-03 17:28:56.010309: $612.50; 2026-03-03 17:28:56.010309: $30.62; 2026-03-03 17:28:56.010309: $30.62,673.74,2025-07-24: $673.74 (bank_transfer),0.00
006685,5646,2012-09-01,closed,623.42,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $52.50; 2026-03-03 17:28:56.010309: $17.50; 2026-03-03 17:28:56.010309: $185.92; 2026-03-03 17:28:56.010309: $17.50,623.42,2025-07-24: $448.42 (bank_transfer); 2025-07-24: $175.00 (bank_transfer),0.00
006686,5647,2012-09-02,closed,192.50,2026-03-03 17:28:56.010309: $175.00; 2026-03-03 17:28:56.010309: $8.75; 2026-03-03 17:28:56.010309: $8.75,192.50,2025-07-24: $192.50 (bank_transfer),0.00
006687,5648,2012-09-06,closed,367.50,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $17.50,367.50,2025-07-24: $367.50 (bank_transfer),0.00
006688,5649,2012-09-04,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $231.00 (bank_transfer),0.00
006689,5525,2012-08-31,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006690,5526,2012-09-10,closed,442.50,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $17.50,442.50,2025-07-24: $367.50 (bank_transfer); 2025-07-24: $75.00 (bank_transfer),0.00
006691,5527,2012-09-15,closed,612.91,2026-03-03 17:28:56.010309: $487.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $101.03; 2026-03-03 17:28:56.010309: $24.38,612.91,2025-07-24: $407.91 (bank_transfer); 2025-07-24: $205.00 (bank_transfer),0.00
006692,5528,2012-09-29,closed,829.00,2026-03-03 17:28:56.010309: $780.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $10.00; 2026-03-03 17:28:56.010309: $39.00,829.00,2025-07-24: $829.00 (bank_transfer),0.00
006693,5529,2012-09-07,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $231.00 (bank_transfer),0.00
006694,5530,2012-09-23,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006695,5531,2012-11-24,closed,268.13,2026-03-03 17:28:56.010309: $243.75; 2026-03-03 17:28:56.010309: $12.19; 2026-03-03 17:28:56.010309: $12.19,268.13,2025-07-24: $240.63 (bank_transfer); 2025-07-24: $27.50 (bank_transfer),0.00
006696,5532,2012-11-24,closed,268.13,2026-03-03 17:28:56.010309: $243.75; 2026-03-03 17:28:56.010309: $12.19; 2026-03-03 17:28:56.010309: $12.19,268.13,2025-07-24: $268.13 (bank_transfer),0.00
006697,5533,2012-09-06,closed,375.00,2026-03-03 17:28:56.010309: $318.18; 2026-03-03 17:28:56.010309: $15.91; 2026-03-03 17:28:56.010309: $25.00; 2026-03-03 17:28:56.010309: $15.91,375.00,2025-07-24: $375.00 (bank_transfer),0.00
006698,5534,2012-09-06,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006699,5535,2012-09-05,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006700,5536,2012-09-06,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006701,5537,2012-09-07,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006702,5538,2012-09-08,closed,450.00,2026-03-03 17:28:56.010309: $375.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $18.75; 2026-03-03 17:28:56.010309: $18.75; 2026-03-03 17:28:56.010309: $0.00,450.00,2025-07-24: $75.00 (bank_transfer); 2025-07-24: $375.00 (bank_transfer),0.00
006703,5539,2012-11-30,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
006704,5540,2012-09-08,closed,222.50,2026-03-03 17:28:56.010309: $175.00; 2026-03-03 17:28:56.010309: $8.75; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $8.75,222.50,2025-07-24: $222.50 (bank_transfer),0.00
006705,5650,2012-09-08,closed,192.50,2026-03-03 17:28:56.010309: $175.00; 2026-03-03 17:28:56.010309: $8.75; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $8.75,192.50,2025-07-24: $192.50 (bank_transfer),0.00
006706,5651,2012-09-15,closed,580.00,2026-03-03 17:28:56.010309: $390.00; 2026-03-03 17:28:56.010309: $19.50; 2026-03-03 17:28:56.010309: $9.65; 2026-03-03 17:28:56.010309: $141.35; 2026-03-03 17:28:56.010309: $19.50,580.00,2012-09-07: $200.00 (unknown); 2025-07-24: $380.00 (bank_transfer),0.00
006707,5652,2012-09-09,closed,992.50,2026-03-03 17:28:56.010309: $650.00; 2026-03-03 17:28:56.010309: $65.00; 2026-03-03 17:28:56.010309: $32.50; 2026-03-03 17:28:56.010309: $212.50; 2026-03-03 17:28:56.010309: $32.50,992.50,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $817.50 (bank_transfer),0.00
006708,5653,2012-09-08,closed,241.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.00; 2026-03-03 17:28:56.010309: $10.50,241.00,2025-07-24: $241.00 (bank_transfer),0.00
006709,5654,2012-09-10,closed,660.00,2026-03-03 17:28:56.010309: $600.00; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $30.00,660.00,2025-07-24: $660.00 (bank_transfer),0.00
006711,5656,2012-09-30,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $90.00 (bank_transfer); 2025-07-24: $0.01 (bank_transfer); 2025-07-24: $-90.00 (bank_transfer),0.00
006712,5657,2012-09-14,closed,602.28,2026-03-03 17:28:56.010309: $390.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $192.78; 2026-03-03 17:28:56.010309: $19.50,602.28,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $397.28 (bank_transfer),0.00
006713,5658,2012-12-21,closed,1564.00,2026-03-03 17:28:56.010309: $900.00; 2026-03-03 17:28:56.010309: $135.00; 2026-03-03 17:28:56.010309: $45.00; 2026-03-03 17:28:56.010309: $439.00; 2026-03-03 17:28:56.010309: $45.00,1564.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $625.00 (bank_transfer); 2025-07-24: $439.00 (bank_transfer),0.00
006714,5659,2012-09-10,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006715,5660,2012-09-11,closed,300.00,2026-03-03 17:28:56.010309: $272.72; 2026-03-03 17:28:56.010309: $13.64; 2026-03-03 17:28:56.010309: $13.64,300.00,2012-09-11: $300.00 (cash),0.00
006716,5661,2012-09-10,closed,165.00,2026-03-03 17:28:56.010309: $150.00; 2026-03-03 17:28:56.010309: $7.50; 2026-03-03 17:28:56.010309: $7.50,165.00,2025-07-24: $165.00 (bank_transfer),0.00
006717,5662,2012-09-14,closed,850.50,2026-03-03 17:28:56.010309: $735.00; 2026-03-03 17:28:56.010309: $36.75; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $12.00; 2026-03-03 17:28:56.010309: $36.75,850.50,2025-07-24: $645.50 (bank_transfer); 2025-07-24: $175.00 (bank_transfer); 2025-07-24: $30.00 (bank_transfer),0.00
006718,5663,2012-09-15,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006719,5664,2012-09-15,closed,1397.40,2026-03-03 17:28:56.010309: $895.65; 2026-03-03 17:28:56.010309: $89.56; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $367.40; 2026-03-03 17:28:56.010309: $44.78; 2026-03-03 17:28:56.010309: $0.01,1397.40,2025-07-24: $250.00 (bank_transfer); 2025-07-24: $900.00 (bank_transfer); 2025-07-24: $247.40 (bank_transfer),0.00
006720,5665,2012-09-07,closed,858.00,2026-03-03 17:28:56.010309: $780.00; 2026-03-03 17:28:56.010309: $39.00; 2026-03-03 17:28:56.010309: $39.00,858.00,2025-07-24: $214.50 (bank_transfer); 2025-07-24: $643.50 (bank_transfer),0.00
006721,5666,2012-11-24,closed,385.00,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $17.50; 2026-03-03 17:28:56.010309: $17.50,385.00,2025-07-24: $385.00 (bank_transfer),0.00
006722,5667,2012-11-24,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006723,5668,2012-09-13,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006724,5669,2012-09-13,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006725,5670,2013-07-06,closed,1233.34,2026-03-03 17:28:56.010309: $975.00; 2026-03-03 17:28:56.010309: $48.75; 2026-03-03 17:28:56.010309: $58.00; 2026-03-03 17:28:56.010309: $97.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $54.09,1233.34,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $967.44 (bank_transfer); 2025-07-24: $60.90 (bank_transfer),0.00
006726,5671,2012-09-22,closed,1034.50,2026-03-03 17:28:56.010309: $895.00; 2026-03-03 17:28:56.010309: $44.75; 2026-03-03 17:28:56.010309: $50.00; 2026-03-03 17:28:56.010309: $44.75,1034.50,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $859.50 (bank_transfer),0.00
006727,5672,2012-09-15,closed,252.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $21.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,252.00,2025-07-24: $252.00 (bank_transfer),0.00
006728,5673,2012-09-15,closed,321.74,2026-03-03 17:28:56.010309: $292.50; 2026-03-03 17:28:56.010309: $14.62; 2026-03-03 17:28:56.010309: $14.62,321.74,2025-07-24: $321.74 (bank_transfer),0.00
006729,5674,2012-10-31,closed,2268.85,2026-03-03 17:28:56.010309: $1272.72; 2026-03-03 17:28:56.010309: $63.64; 2026-03-03 17:28:56.010309: $868.85; 2026-03-03 17:28:56.010309: $63.64,2268.85,2012-10-11: $160.00 (check); 2025-07-24: $360.00 (bank_transfer); 2025-07-24: $120.00 (bank_transfer); 2025-07-24: $831.07 (bank_transfer); 2025-07-24: $160.00 (bank_transfer); 2025-07-24: $80.00 (bank_transfer); 2025-07-24: $220.00 (bank_transfer); 2025-07-24: $25.00 (bank_transfer); 2025-07-24: $275.00 (bank_transfer); 2025-07-24: $37.78 (bank_transfer),0.00
006730,5675,2012-10-12,closed,367.49,2026-03-03 17:28:56.010309: $306.25; 2026-03-03 17:28:56.010309: $30.62; 2026-03-03 17:28:56.010309: $15.31; 2026-03-03 17:28:56.010309: $15.31,367.49,2025-07-24: $367.49 (bank_transfer),0.00
006731,5676,2012-10-31,closed,1772.42,2026-03-03 17:28:56.010309: $1272.72; 2026-03-03 17:28:56.010309: $63.64; 2026-03-03 17:28:56.010309: $372.42; 2026-03-03 17:28:56.010309: $63.64,1772.42,2025-07-24: $24.18 (bank_transfer); 2025-07-24: $348.24 (bank_transfer); 2025-07-24: $360.00 (bank_transfer); 2025-07-24: $40.00 (bank_transfer); 2025-07-24: $260.00 (bank_transfer); 2025-07-24: $480.00 (bank_transfer); 2025-07-24: $240.00 (bank_transfer); 2025-07-24: $20.00 (bank_transfer),0.00
006732,5677,2012-10-12,closed,314.99,2026-03-03 17:28:56.010309: $262.50; 2026-03-03 17:28:56.010309: $26.25; 2026-03-03 17:28:56.010309: $13.12; 2026-03-03 17:28:56.010309: $13.12,314.99,2025-07-24: $314.99 (bank_transfer),0.00
006733,5678,2012-10-12,closed,112.51,2026-03-03 17:28:56.010309: $93.75; 2026-03-03 17:28:56.010309: $9.38; 2026-03-03 17:28:56.010309: $4.69; 2026-03-03 17:28:56.010309: $4.69,112.51,2025-07-24: $22.51 (bank_transfer); 2025-07-24: $75.00 (bank_transfer); 2025-07-24: $15.00 (bank_transfer),0.00
006734,5679,2012-09-07,closed,82.50,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $3.75; 2026-03-03 17:28:56.010309: $3.75,82.50,2025-07-24: $82.50 (bank_transfer),0.00
006735,5680,2012-09-14,closed,82.50,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $3.75; 2026-03-03 17:28:56.010309: $3.75,82.50,2025-07-24: $82.50 (bank_transfer),0.00
006736,5681,2012-09-06,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
006737,5682,2012-09-05,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
006738,5683,2012-09-15,closed,812.07,2026-03-03 17:28:56.010309: $390.00; 2026-03-03 17:28:56.010309: $39.00; 2026-03-03 17:28:56.010309: $19.50; 2026-03-03 17:28:56.010309: $105.92; 2026-03-03 17:28:56.010309: $238.15; 2026-03-03 17:28:56.010309: $19.50,812.07,2025-07-24: $812.07 (bank_transfer),0.00
006739,5684,2012-09-15,closed,477.00,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $35.00; 2026-03-03 17:28:56.010309: $17.50; 2026-03-03 17:28:56.010309: $57.00; 2026-03-03 17:28:56.010309: $17.50,477.00,2025-07-24: $477.00 (bank_transfer),0.00
006740,5685,2012-09-15,closed,660.00,2026-03-03 17:28:56.010309: $600.00; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $30.00,660.00,2025-07-24: $660.00 (bank_transfer),0.00
006741,5686,2012-09-17,closed,265.65,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $34.65; 2026-03-03 17:28:56.010309: $10.50,265.65,2025-07-24: $265.65 (bank_transfer),0.00
006742,5687,2012-10-12,closed,428.22,2026-03-03 17:28:56.010309: $356.85; 2026-03-03 17:28:56.010309: $35.69; 2026-03-03 17:28:56.010309: $17.84; 2026-03-03 17:28:56.010309: $17.84,428.22,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $18.73 (bank_transfer); 2025-07-24: $234.49 (bank_transfer),0.00
006743,5688,2012-09-17,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006744,5689,2012-09-17,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006745,5690,2013-06-08,closed,1485.00,2026-03-03 17:28:56.010309: $1350.00; 2026-03-03 17:28:56.010309: $67.50; 2026-03-03 17:28:56.010309: $67.50,1485.00,2025-07-24: $985.00 (bank_transfer); 2025-07-24: $500.00 (bank_transfer),0.00
006746,5691,2012-11-29,closed,1087.63,2026-03-03 17:28:56.010309: $750.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $98.88; 2026-03-03 17:28:56.010309: $163.75; 2026-03-03 17:28:56.010309: $37.50,1087.63,2025-07-24: $1087.63 (bank_transfer),0.00
006747,5692,2012-09-19,closed,82.50,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $3.75; 2026-03-03 17:28:56.010309: $3.75,82.50,2025-07-24: $82.50 (bank_transfer),0.00
006748,5693,2012-09-21,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $231.00 (bank_transfer),0.00
006749,5694,2012-09-18,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006750,5695,2012-09-19,closed,457.50,2026-03-03 17:28:56.010309: $525.00; 2026-03-03 17:28:56.010309: $26.25; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $26.25; 2026-03-03 17:28:56.010309: $-150.00,457.50,2012-09-22: $457.50 (unknown),0.00
006751,5696,2012-09-19,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006752,5697,2012-09-20,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006753,5698,2012-09-29,closed,718.96,2026-03-03 17:28:56.010309: $420.00; 2026-03-03 17:28:56.010309: $42.00; 2026-03-03 17:28:56.010309: $21.00; 2026-03-03 17:28:56.010309: $214.96; 2026-03-03 17:28:56.010309: $21.00,718.96,2025-07-24: $508.96 (bank_transfer); 2025-07-24: $210.00 (bank_transfer),0.00
006754,5699,2012-09-22,closed,1203.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $2.50; 2026-03-03 17:28:56.010309: $203.50; 2026-03-03 17:28:56.010309: $47.50,1203.50,2025-07-24: $1203.50 (bank_transfer),0.00
006755,5700,2012-09-21,closed,254.10,2026-03-03 17:28:56.010309: $231.00; 2026-03-03 17:28:56.010309: $11.55; 2026-03-03 17:28:56.010309: $11.55,254.10,2025-07-24: $254.10 (bank_transfer),0.00
006756,5704,2012-09-21,closed,1662.50,2026-03-03 17:28:56.010309: $1275.00; 2026-03-03 17:28:56.010309: $63.75; 2026-03-03 17:28:56.010309: $200.00; 2026-03-03 17:28:56.010309: $60.00; 2026-03-03 17:28:56.010309: $63.75,1662.50,2025-07-24: $987.50 (bank_transfer); 2025-07-24: $675.00 (bank_transfer),0.00
006757,5705,2012-09-21,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006758,5706,2012-09-22,closed,535.45,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $35.00; 2026-03-03 17:28:56.010309: $17.50; 2026-03-03 17:28:56.010309: $115.45; 2026-03-03 17:28:56.010309: $17.50,535.45,2025-07-24: $535.45 (bank_transfer),0.00
006759,5707,2012-09-22,closed,441.74,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $17.50; 2026-03-03 17:28:56.010309: $56.74; 2026-03-03 17:28:56.010309: $17.50,441.74,2025-07-24: $441.74 (bank_transfer),0.00
006760,5708,2012-09-22,closed,48.76,2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $7.50; 2026-03-03 17:28:56.010309: $1.88; 2026-03-03 17:28:56.010309: $1.88,48.76,2025-07-24: $48.76 (bank_transfer),0.00
006761,5709,2012-09-22,closed,487.50,2026-03-03 17:28:56.010309: $375.00; 2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $18.75; 2026-03-03 17:28:56.010309: $18.75,487.50,2025-07-24: $487.50 (bank_transfer),0.00
006762,5710,2012-09-29,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006763,5711,2012-09-29,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006764,5712,2012-10-05,closed,494.40,2026-03-03 17:28:56.010309: $315.00; 2026-03-03 17:28:56.010309: $15.75; 2026-03-03 17:28:56.010309: $147.90; 2026-03-03 17:28:56.010309: $15.75,494.40,2025-07-24: $250.00 (bank_transfer); 2025-07-24: $244.40 (bank_transfer),0.00
006765,5713,2012-10-06,closed,378.90,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $147.90; 2026-03-03 17:28:56.010309: $10.50,378.90,2025-07-24: $378.90 (bank_transfer),0.00
006766,5714,2012-09-29,closed,1230.37,2026-03-03 17:28:56.010309: $900.00; 2026-03-03 17:28:56.010309: $45.00; 2026-03-03 17:28:56.010309: $240.37; 2026-03-03 17:28:56.010309: $45.00,1230.37,2025-07-24: $730.37 (bank_transfer); 2025-07-24: $500.00 (bank_transfer),0.00
006767,5715,2012-10-20,closed,800.33,2026-03-03 17:28:56.010309: $450.00; 2026-03-03 17:28:56.010309: $22.50; 2026-03-03 17:28:56.010309: $125.00; 2026-03-03 17:28:56.010309: $180.33; 2026-03-03 17:28:56.010309: $22.50,800.33,2025-07-24: $470.33 (bank_transfer); 2025-07-24: $330.00 (bank_transfer),0.00
006768,5716,2012-10-20,closed,495.00,2026-03-03 17:28:56.010309: $450.00; 2026-03-03 17:28:56.010309: $22.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $22.50,495.00,2025-07-24: $495.00 (bank_transfer),0.00
006769,5717,2013-05-10,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
006770,5718,2012-10-20,closed,1604.06,2026-03-03 17:28:56.010309: $1365.00; 2026-03-03 17:28:56.010309: $68.25; 2026-03-03 17:28:56.010309: $102.56; 2026-03-03 17:28:56.010309: $68.25; 2026-03-03 17:28:56.010309: $0.00,1604.06,2012-10-12: $500.00 (unknown); 2025-07-24: $1104.06 (bank_transfer),0.00
006771,5719,2012-09-24,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006772,5720,2012-10-31,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006773,5721,2012-10-31,closed,0.01,2026-03-03 17:28:56.010309: $0.01; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006774,5722,2012-09-25,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006775,5723,2012-09-26,closed,210.94,2026-03-03 17:28:56.010309: $168.75; 2026-03-03 17:28:56.010309: $25.31; 2026-03-03 17:28:56.010309: $8.44; 2026-03-03 17:28:56.010309: $8.44,210.94,2025-07-24: $210.94 (bank_transfer),0.00
006776,5724,2012-09-26,closed,82.50,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $3.75; 2026-03-03 17:28:56.010309: $3.75,82.50,2025-07-24: $82.50 (bank_transfer),0.00
006777,5725,2012-11-09,closed,575.00,2026-03-03 17:28:56.010309: $500.00; 2026-03-03 17:28:56.010309: $50.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $25.00,575.00,2025-07-24: $575.00 (bank_transfer),0.00
006778,5726,2012-11-17,closed,450.00,2026-03-03 17:28:56.010309: $375.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $18.75; 2026-03-03 17:28:56.010309: $18.75,450.00,2025-07-24: $375.00 (bank_transfer); 2025-07-24: $75.00 (bank_transfer),0.00
006779,5727,2012-11-17,closed,450.00,2026-03-03 17:28:56.010309: $375.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $18.75; 2026-03-03 17:28:56.010309: $18.75,450.00,2025-07-24: $75.00 (bank_transfer); 2025-07-24: $375.00 (bank_transfer),0.00
006780,5728,2012-09-29,closed,386.94,2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $25.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $99.44; 2026-03-03 17:28:56.010309: $12.50,386.94,2025-07-24: $60.00 (bank_transfer); 2025-07-24: $326.94 (bank_transfer),0.00
006781,5729,2012-09-29,closed,287.50,2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $25.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $12.50,287.50,2025-07-24: $287.50 (bank_transfer),0.00
006782,5730,2012-09-28,closed,329.40,2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $12.50; 2026-03-03 17:28:56.010309: $54.40; 2026-03-03 17:28:56.010309: $12.50,329.40,2025-07-24: $275.00 (bank_transfer); 2025-07-24: $54.04 (bank_transfer); 2025-07-24: $0.36 (bank_transfer),0.00
006783,5731,2012-09-29,closed,275.00,2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $12.50; 2026-03-03 17:28:56.010309: $12.50,275.00,2025-07-24: $275.00 (bank_transfer),0.00
006784,5732,2012-09-26,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
006785,5733,2012-11-24,closed,365.62,2026-03-03 17:28:56.010309: $292.50; 2026-03-03 17:28:56.010309: $43.88; 2026-03-03 17:28:56.010309: $14.62; 2026-03-03 17:28:56.010309: $14.62,365.62,2025-07-24: $214.50 (bank_transfer); 2025-07-24: $151.12 (bank_transfer),0.00
006786,5734,2012-09-26,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
