strict_order,batch_id,processing_priority,classification_bucket,gl_target_hint,receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,recommended_step,receipt_source
1,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217018,2012-01-01,CANADIAN TIRE,8.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
291,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217281,2012-02-02,CENTEX,9.27,cash,,False,,batch post as fuel cash expenses; verify GST coding,
292,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217000,2012-02-03,CENTEX,6.32,cash,,False,,batch post as fuel cash expenses; verify GST coding,
293,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217276,2012-02-03,CENTEX,6.32,cash,,False,,batch post as fuel cash expenses; verify GST coding,
294,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217002,2012-02-04,CENTEX,50.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
295,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217274,2012-02-04,CENTEX,50.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
296,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214918,2012-02-04,ESSO,60.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
297,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216998,2012-02-05,CENTEX,24.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
298,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217513,2012-02-05,CENTEX,24.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
299,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216999,2012-02-06,CENTEX,30.02,cash,,False,,batch post as fuel cash expenses; verify GST coding,
300,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217277,2012-02-06,CENTEX,30.02,cash,,False,,batch post as fuel cash expenses; verify GST coding,
301,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217273,2012-02-07,CENTEX,55.41,cash,,False,,batch post as fuel cash expenses; verify GST coding,
302,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217426,2012-02-07,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
303,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217272,2012-02-08,CENTEX,60.50,cash,,False,,batch post as fuel cash expenses; verify GST coding,
304,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217007,2012-02-11,CENTEX,64.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
305,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217279,2012-02-11,CENTEX,54.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
306,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217250,2012-02-12,CENTEX,11.95,cash,,False,,batch post as fuel cash expenses; verify GST coding,
307,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217280,2012-02-14,CENTEX,3.24,cash,,False,,batch post as fuel cash expenses; verify GST coding,
308,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217004,2012-02-17,CENTEX,35.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
309,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217275,2012-02-17,CENTEX,35.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
310,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217477,2012-02-17,CENTEX,47.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
311,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214919,2012-02-17,ESSO,30.03,cash,,False,,batch post as fuel cash expenses; verify GST coding,
312,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214031,2012-02-17,FAS GAS,14.38,cash,,False,,batch post as fuel cash expenses; verify GST coding,
313,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217001,2012-02-18,CENTEX,54.99,cash,,False,,batch post as fuel cash expenses; verify GST coding,
314,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215047,2012-02-20,MOHAWK,150.50,cash,,False,,batch post as fuel cash expenses; verify GST coding,
315,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217251,2012-02-21,CENTEX,71.42,cash,,False,,batch post as fuel cash expenses; verify GST coding,
316,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214028,2012-02-22,FAS GAS,66.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
317,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217252,2012-02-23,CENTEX,9.43,cash,,False,,batch post as fuel cash expenses; verify GST coding,
318,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217438,2012-02-25,CENTEX,80.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
319,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215196,2012-02-25,SHELL,61.95,cash,,False,,batch post as fuel cash expenses; verify GST coding,
320,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215197,2012-02-25,SHELL,6.49,cash,,False,,batch post as fuel cash expenses; verify GST coding,
321,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214029,2012-02-27,FAS GAS,66.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
322,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217253,2012-02-29,CENTEX,38.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
323,P2-2012-02-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214030,2012-02-29,FAS GAS,49.26,cash,,False,,batch post as fuel cash expenses; verify GST coding,
324,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214975,2012-03-03,CENTEX,40.15,cash,,False,,batch post as fuel cash expenses; verify GST coding,
325,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214976,2012-03-03,CENTEX,40.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
326,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214977,2012-03-03,CENTEX,7.11,cash,,False,,batch post as fuel cash expenses; verify GST coding,
327,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214991,2012-03-04,CENTEX,40.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
328,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214958,2012-03-05,FAS GAS,20.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
329,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214972,2012-03-06,CENTEX,72.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
330,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214989,2012-03-08,CENTEX,7.11,cash,,False,,batch post as fuel cash expenses; verify GST coding,
331,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214990,2012-03-08,CENTEX,32.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
332,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214864,2012-03-24,PETRO-CANADA,11.15,cash,,False,,batch post as fuel cash expenses; verify GST coding,
333,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214865,2012-03-24,PETRO-CANADA,21.45,cash,,False,,batch post as fuel cash expenses; verify GST coding,
334,P2-2012-03-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214992,2012-03-25,CENTEX,73.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
335,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217448,2012-04-05,CENTEX,89.39,cash,,False,,batch post as fuel cash expenses; verify GST coding,
336,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217449,2012-04-05,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
337,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217450,2012-04-05,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
338,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214926,2012-04-05,ESSO,35.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
339,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215052,2012-04-05,MOHAWK,40.50,cash,,False,,batch post as fuel cash expenses; verify GST coding,
340,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217446,2012-04-06,CENTEX,110.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
341,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217447,2012-04-06,CENTEX,28.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
342,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217461,2012-04-08,CENTEX,50.77,cash,,False,,batch post as fuel cash expenses; verify GST coding,
343,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217462,2012-04-08,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
344,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217459,2012-04-12,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
345,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217460,2012-04-12,CENTEX,51.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
346,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217458,2012-04-13,CENTEX,8.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
347,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217455,2012-04-14,CENTEX,35.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
348,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217456,2012-04-14,CENTEX,50.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
349,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,221465,2012-04-14,CENTEX,60.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
350,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,221466,2012-04-14,CENTEX,9.27,cash,,False,,batch post as fuel cash expenses; verify GST coding,
351,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215229,2012-04-14,SHELL,53.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
352,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217451,2012-04-15,CENTEX,32.99,cash,,False,,batch post as fuel cash expenses; verify GST coding,
353,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214878,2012-04-15,ESSO,51.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
354,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217452,2012-04-16,CENTEX,7.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
355,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217453,2012-04-16,CENTEX,59.59,cash,,False,,batch post as fuel cash expenses; verify GST coding,
356,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217473,2012-04-18,CENTEX,42.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
357,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217471,2012-04-20,CENTEX,6.33,cash,,False,,batch post as fuel cash expenses; verify GST coding,
358,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217467,2012-04-21,CENTEX,61.34,cash,,False,,batch post as fuel cash expenses; verify GST coding,
359,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217468,2012-04-21,CENTEX,61.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
360,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217469,2012-04-21,CENTEX,63.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
361,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217470,2012-04-21,CENTEX,16.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
362,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217474,2012-04-21,CENTEX,22.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
363,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214920,2012-04-21,ESSO,33.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
364,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214921,2012-04-21,ESSO,70.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
365,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217466,2012-04-24,CENTEX,71.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
366,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214927,2012-04-24,ESSO,74.51,cash,,False,,batch post as fuel cash expenses; verify GST coding,
367,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217463,2012-04-25,CENTEX,33.52,cash,,False,,batch post as fuel cash expenses; verify GST coding,
368,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217476,2012-04-26,CENTEX,16.99,cash,,False,,batch post as fuel cash expenses; verify GST coding,
369,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217475,2012-04-27,CENTEX,23.86,cash,,False,,batch post as fuel cash expenses; verify GST coding,
370,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214099,2012-04-27,PETRO-CANADA,18.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
371,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217478,2012-04-28,CENTEX,73.02,cash,,False,,batch post as fuel cash expenses; verify GST coding,
372,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217479,2012-04-28,CENTEX,37.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
373,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217480,2012-04-28,CENTEX,55.03,cash,,False,,batch post as fuel cash expenses; verify GST coding,
374,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217481,2012-04-28,CENTEX,20.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
375,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217402,2012-04-29,CENTEX,33.98,cash,,False,,batch post as fuel cash expenses; verify GST coding,
376,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217482,2012-04-30,CENTEX,36.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
377,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217485,2012-04-30,CENTEX,68.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
378,P2-2012-04-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,221463,2012-04-30,CENTEX,79.67,cash,,False,,batch post as fuel cash expenses; verify GST coding,
379,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216956,2012-05-02,CENTEX,38.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
380,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215534,2012-05-03,CENTEX,44.75,cash,,False,,batch post as fuel cash expenses; verify GST coding,
381,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216951,2012-05-03,CENTEX,20.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
382,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216955,2012-05-03,CENTEX,30.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
383,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214957,2012-05-03,FAS GAS,20.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
384,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216984,2012-05-05,CENTEX,20.02,cash,,False,,batch post as fuel cash expenses; verify GST coding,
385,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216986,2012-05-08,CENTEX,58.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
386,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216981,2012-05-09,CENTEX,6.18,cash,,False,,batch post as fuel cash expenses; verify GST coding,
387,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217284,2012-05-09,CENTEX,3.09,cash,,False,,batch post as fuel cash expenses; verify GST coding,
388,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217286,2012-05-09,CENTEX,74.88,cash,,False,,batch post as fuel cash expenses; verify GST coding,
389,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214904,2012-05-09,ESSO,63.04,cash,,False,,batch post as fuel cash expenses; verify GST coding,
390,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214111,2012-05-09,PETRO-CANADA,55.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
391,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214828,2012-05-09,PETRO-CANADA,51.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
392,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216977,2012-05-10,CENTEX,31.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
393,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216978,2012-05-10,CENTEX,33.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
394,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216970,2012-05-11,CENTEX,64.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
395,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216976,2012-05-11,CENTEX,50.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
396,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216959,2012-05-12,CENTEX,50.99,cash,,False,,batch post as fuel cash expenses; verify GST coding,
397,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216960,2012-05-12,CENTEX,48.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
398,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216958,2012-05-14,CENTEX,42.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
399,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216967,2012-05-14,CENTEX,30.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
400,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214914,2012-05-14,ESSO,56.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
401,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214915,2012-05-15,ESSO,9.92,cash,,False,,batch post as fuel cash expenses; verify GST coding,
402,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214110,2012-05-15,PETRO-CANADA,40.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
403,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214860,2012-05-15,PETRO-CANADA,13.80,cash,,False,,batch post as fuel cash expenses; verify GST coding,
404,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215220,2012-05-15,SHELL,29.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
405,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214038,2012-05-16,ESSO,50.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
406,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214910,2012-05-16,ESSO,5.79,cash,,False,,batch post as fuel cash expenses; verify GST coding,
407,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214916,2012-05-16,ESSO,3.44,cash,,False,,batch post as fuel cash expenses; verify GST coding,
408,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215190,2012-05-16,SHELL,62.70,cash,,False,,batch post as fuel cash expenses; verify GST coding,
409,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215191,2012-05-16,SHELL,20.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
410,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216953,2012-05-17,CENTEX,70.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
411,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216954,2012-05-17,CENTEX,36.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
412,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216990,2012-05-17,CENTEX,20.50,cash,,False,,batch post as fuel cash expenses; verify GST coding,
413,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214912,2012-05-17,ESSO,34.29,cash,,False,,batch post as fuel cash expenses; verify GST coding,
414,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214913,2012-05-17,ESSO,2.95,cash,,False,,batch post as fuel cash expenses; verify GST coding,
415,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216968,2012-05-18,CENTEX,55.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
416,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,142211,2012-05-18,MOHAWK,80.11,cash,,False,,batch post as fuel cash expenses; verify GST coding,
417,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217283,2012-05-19,CENTEX,52.02,cash,,False,,batch post as fuel cash expenses; verify GST coding,
418,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216985,2012-05-20,CENTEX,60.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
419,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216989,2012-05-20,CENTEX,6.18,cash,,False,,batch post as fuel cash expenses; verify GST coding,
420,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217439,2012-05-20,CENTEX,12.33,cash,,False,,batch post as fuel cash expenses; verify GST coding,
421,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214857,2012-05-20,ESSO,153.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
422,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214858,2012-05-20,ESSO,1.50,cash,,False,,batch post as fuel cash expenses; verify GST coding,
423,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214907,2012-05-20,ESSO,109.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
424,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214908,2012-05-20,ESSO,13.20,cash,,False,,batch post as fuel cash expenses; verify GST coding,
425,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214909,2012-05-20,ESSO,109.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
426,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216983,2012-05-21,CENTEX,60.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
427,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214831,2012-05-21,PETRO-CANADA,13.54,cash,,False,,batch post as fuel cash expenses; verify GST coding,
428,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216961,2012-05-23,CENTEX,30.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
429,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,216987,2012-05-23,CENTEX,30.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
430,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,221464,2012-05-23,CENTEX,45.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
431,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215271,2012-05-23,PETRO-CANADA,5.45,cash,,False,,batch post as fuel cash expenses; verify GST coding,
432,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217256,2012-05-24,CENTEX,75.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
433,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217257,2012-05-24,CENTEX,7.97,cash,,False,,batch post as fuel cash expenses; verify GST coding,
434,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217497,2012-05-26,CENTEX,60.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
435,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214884,2012-05-28,ESSO,40.01,cash,,False,,batch post as fuel cash expenses; verify GST coding,
436,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,215369,2012-05-29,CENTEX,55.04,cash,,False,,batch post as fuel cash expenses; verify GST coding,
437,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,214905,2012-05-29,ESSO,150.00,cash,,False,,batch post as fuel cash expenses; verify GST coding,
438,P2-2012-05-fuel_cash_likely,2,fuel_cash_likely,expense_fuel_cash_queue,217150,2012-05-29,PETRO-CANADA,5.45,cash,,False,,batch post as fuel cash expenses; verify GST coding,
