priority_rank,txn_id,sequence,date,description,row_count,year,priority_reason,sql_probe_1,sql_probe_2
47,14615,0,2013-12-17,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14615%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14615%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
48,14625,0,2013-12-17,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14625%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14625%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
49,14640,0,2013-12-17,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14640%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14640%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
50,14604,0,2013-07-18,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14604%' OR to_jsonb(t)::text ILIKE '%2013-07-18%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14604%' OR to_jsonb(t)::text ILIKE '%2013-07-18%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
51,14582,0,2013-07-08,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14582%' OR to_jsonb(t)::text ILIKE '%2013-07-08%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14582%' OR to_jsonb(t)::text ILIKE '%2013-07-08%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
52,14600,0,2013-07-08,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14600%' OR to_jsonb(t)::text ILIKE '%2013-07-08%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14600%' OR to_jsonb(t)::text ILIKE '%2013-07-08%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
53,14646,0,2013-06-12,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14646%' OR to_jsonb(t)::text ILIKE '%2013-06-12%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14646%' OR to_jsonb(t)::text ILIKE '%2013-06-12%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
54,14634,0,2013-05-07,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14634%' OR to_jsonb(t)::text ILIKE '%2013-05-07%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14634%' OR to_jsonb(t)::text ILIKE '%2013-05-07%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
55,14654,0,2013-05-03,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14654%' OR to_jsonb(t)::text ILIKE '%2013-05-03%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14654%' OR to_jsonb(t)::text ILIKE '%2013-05-03%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
56,14610,0,2013-04-30,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14610%' OR to_jsonb(t)::text ILIKE '%2013-04-30%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14610%' OR to_jsonb(t)::text ILIKE '%2013-04-30%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
57,14586,0,2013-03-31,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14586%' OR to_jsonb(t)::text ILIKE '%2013-03-31%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14586%' OR to_jsonb(t)::text ILIKE '%2013-03-31%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
58,14621,0,2013-02-28,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14621%' OR to_jsonb(t)::text ILIKE '%2013-02-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14621%' OR to_jsonb(t)::text ILIKE '%2013-02-28%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
59,14635,0,2012-12-19,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14635%' OR to_jsonb(t)::text ILIKE '%2012-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14635%' OR to_jsonb(t)::text ILIKE '%2012-12-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
60,14609,0,2012-11-29,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14609%' OR to_jsonb(t)::text ILIKE '%2012-11-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14609%' OR to_jsonb(t)::text ILIKE '%2012-11-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
61,14619,0,2012-05-31,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14619%' OR to_jsonb(t)::text ILIKE '%2012-05-31%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14619%' OR to_jsonb(t)::text ILIKE '%2012-05-31%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
62,14632,0,2012-04-15,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14632%' OR to_jsonb(t)::text ILIKE '%2012-04-15%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14632%' OR to_jsonb(t)::text ILIKE '%2012-04-15%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
63,14614,0,2012-04-12,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14614%' OR to_jsonb(t)::text ILIKE '%2012-04-12%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14614%' OR to_jsonb(t)::text ILIKE '%2012-04-12%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
64,14629,0,2012-04-11,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14629%' OR to_jsonb(t)::text ILIKE '%2012-04-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14629%' OR to_jsonb(t)::text ILIKE '%2012-04-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
65,14652,0,2012-04-11,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14652%' OR to_jsonb(t)::text ILIKE '%2012-04-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14652%' OR to_jsonb(t)::text ILIKE '%2012-04-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
66,14633,0,2012-04-03,Bill Payment (Cheque),2,2012,year_unmatched=16; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14633%' OR to_jsonb(t)::text ILIKE '%2012-04-03%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14633%' OR to_jsonb(t)::text ILIKE '%2012-04-03%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
67,14598,0,2014-05-19,Bill Payment (Cheque),2,2014,year_unmatched=8; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14598%' OR to_jsonb(t)::text ILIKE '%2014-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14598%' OR to_jsonb(t)::text ILIKE '%2014-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
68,14617,0,2014-05-19,Bill Payment (Cheque),2,2014,year_unmatched=8; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14617%' OR to_jsonb(t)::text ILIKE '%2014-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14617%' OR to_jsonb(t)::text ILIKE '%2014-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
69,14590,0,2014-02-17,Bill Payment (Cheque),2,2014,year_unmatched=8; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14590%' OR to_jsonb(t)::text ILIKE '%2014-02-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14590%' OR to_jsonb(t)::text ILIKE '%2014-02-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
70,14599,0,2014-02-07,Bill Payment (Cheque),2,2014,year_unmatched=8; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14599%' OR to_jsonb(t)::text ILIKE '%2014-02-07%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14599%' OR to_jsonb(t)::text ILIKE '%2014-02-07%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
71,14639,0,2015-06-19,Bill Payment (Cheque),2,2015,year_unmatched=6; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14639%' OR to_jsonb(t)::text ILIKE '%2015-06-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14639%' OR to_jsonb(t)::text ILIKE '%2015-06-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
72,14592,0,2015-05-19,Bill Payment (Cheque),2,2015,year_unmatched=6; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14592%' OR to_jsonb(t)::text ILIKE '%2015-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14592%' OR to_jsonb(t)::text ILIKE '%2015-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
73,14620,0,2015-05-19,Bill Payment (Cheque),2,2015,year_unmatched=6; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14620%' OR to_jsonb(t)::text ILIKE '%2015-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14620%' OR to_jsonb(t)::text ILIKE '%2015-05-19%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
